complaint_id,date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company_public_response,company,state,zip_code,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed?
3000000,2024-10-15 19:10:40.896439,Mortgage,General,Incorrect information on your report,Information belongs to someone else,nan,,Bank of America,OH,12345,,Consent provided,Web,2024-10-29 19:10:40.896439,Closed with non-monetary relief,Yes,No
3000001,2025-09-13 19:10:40.896439,Checking or savings account,General,Incorrect information on your report,Information belongs to someone else,nan,,TransUnion,CA,12345,,Consent provided,Web,2025-09-18 19:10:40.896439,In progress,Yes,nan
3000002,2025-04-01 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,The bank charged me a fee I did not authorize.,,Capital One,CA,12345,,Consent provided,Web,2025-04-06 19:10:40.896439,Closed with monetary relief,Yes,No
3000003,2024-10-19 19:10:40.896439,Credit card or prepaid card,General,Incorrect information on your report,Information belongs to someone else,My credit report shows an account I never opened.,,Capital One,IL,12345,,Consent provided,Web,2024-10-31 19:10:40.896439,Untimely response,Yes,nan
3000004,2024-09-14 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,The bank charged me a fee I did not authorize.,,Wells Fargo,IL,12345,,Consent provided,Web,2024-09-22 19:10:40.896439,Closed with non-monetary relief,Yes,Yes
3000005,2026-06-05 19:10:40.896439,Debt collection,General,Incorrect information on your report,Information belongs to someone else,nan,,Citibank,CA,12345,,Consent provided,Web,2026-06-13 19:10:40.896439,,Yes,No
3000006,2024-07-25 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,nan,,Bank of America,OH,12345,,Consent provided,Web,2024-07-28 19:10:40.896439,Closed with explanation,Yes,nan
3000007,2026-03-11 19:10:40.896439,Debt collection,General,Incorrect information on your report,Information belongs to someone else,nan,,Wells Fargo,OH,12345,,Consent provided,Web,2026-03-19 19:10:40.896439,Closed with explanation,Yes,No
3000008,2024-11-03 19:10:40.896439,Debt collection,General,Incorrect information on your report,Information belongs to someone else,nan,,Wells Fargo,PA,12345,,Consent provided,Web,2024-11-17 19:10:40.896439,Closed with explanation,Yes,nan
3000009,2025-10-14 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,nan,,Equifax,OH,12345,,Consent provided,Web,2025-10-28 19:10:40.896439,Closed with explanation,No,No
3000010,2025-02-04 19:10:40.896439,,General,Incorrect information on your report,Information belongs to someone else,nan,,Wells Fargo,PA,12345,,Consent provided,Web,2025-02-16 19:10:40.896439,Untimely response,Yes,nan
3000011,2025-05-31 19:10:40.896439,Vehicle loan or lease,General,Incorrect information on your report,Information belongs to someone else,nan,,JPMorgan Chase & Co.,MI,12345,,Consent provided,Web,2025-06-05 19:10:40.896439,Closed with explanation,Yes,No
3000012,2025-10-06 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,nan,,TransUnion,TX,12345,,Consent provided,Web,2025-10-07 19:10:40.896439,Closed with explanation,Yes,No
3000013,2024-09-30 19:10:40.896439,Mortgage,General,Incorrect information on your report,Information belongs to someone else,My credit report shows an account I never opened.,,Capital One,IL,12345,,Consent provided,Web,2024-10-09 19:10:40.896439,Closed with explanation,Yes,nan
3000014,2025-07-12 19:10:40.896439,Credit card or prepaid card,General,Incorrect information on your report,Information belongs to someone else,My credit report shows an account I never opened.,,Equifax,OH,12345,,Consent provided,Web,2025-07-25 19:10:40.896439,In progress,Yes,Yes
3000015,2024-10-12 19:10:40.896439,Debt collection,General,Incorrect information on your report,Information belongs to someone else,nan,,Equifax,TX,12345,,Consent provided,Web,2024-10-22 19:10:40.896439,Closed with explanation,Yes,No
3000016,2026-04-29 19:10:40.896439,,General,Incorrect information on your report,Information belongs to someone else,nan,,JPMorgan Chase & Co.,IL,12345,,Consent provided,Web,2026-05-04 19:10:40.896439,Closed with explanation,Yes,nan
3000017,2024-11-12 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,The bank charged me a fee I did not authorize.,,JPMorgan Chase & Co.,FL,12345,,Consent provided,Web,2024-11-13 19:10:40.896439,Closed with explanation,Yes,Yes
3000018,2026-04-27 19:10:40.896439,Checking or savings account,General,Incorrect information on your report,Information belongs to someone else,My credit report shows an account I never opened.,,Experian,NC,12345,,Consent provided,Web,2026-05-04 19:10:40.896439,Closed with explanation,Yes,No
